Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Wednesday,12,ADa - PMax,"3,798",63,1.66%,AED,0.80,50.44,5.33%,3.36,15.01
Wednesday,20,ADa - PMax,"3,942",110,2.79%,AED,0.59,65.38,0.00%,0.00,0.00
Monday,7,ADa - PMax,"1,532",30,1.96%,AED,0.86,25.66,0.00%,0.00,0.00
Wednesday,14,ADa - Eng,69,3,4.35%,AED,4.63,13.89,0.00%,0.00,0.00
Wednesday,15,ADa - Eng,28,1,3.57%,AED,4.95,4.95,0.00%,0.00,0.00
Tuesday,11,ADa - Eng,89,5,5.62%,AED,3.69,18.44,0.00%,0.00,0.00
Tuesday,17,ADa - Eng,51,1,1.96%,AED,4.97,4.97,0.00%,0.00,0.00
Sunday,15,ADa - Eng,120,5,4.17%,AED,3.17,15.85,0.00%,0.00,0.00
Friday,5,ADa - PMax,822,26,3.16%,AED,0.47,12.19,3.85%,1.00,12.19
Thursday,9,ADa - PMax,"2,423",69,2.85%,AED,0.90,61.89,2.90%,2.00,30.96
Tuesday,12,ADa - PMax,"4,323",86,1.99%,AED,1.03,88.68,2.33%,2.00,44.34
Tuesday,20,ADa - PMax,"3,209",119,3.71%,AED,0.67,80.09,1.68%,2.00,40.07
Wednesday,18,ADa - Eng,8,1,12.50%,AED,4.78,4.78,0.00%,0.00,0.00
Tuesday,9,ADa - Eng,92,6,6.52%,AED,4.87,29.19,0.00%,0.00,0.00
Monday,8,ADa - Eng,51,2,3.92%,AED,3.88,7.75,0.00%,0.00,0.00
Friday,15,ADa - PMax,"3,588",118,3.29%,AED,0.75,88.23,0.85%,1.00,88.21
Sunday,10,ADa - PMax,"2,034",73,3.59%,AED,0.66,47.82,2.74%,2.00,23.91
Tuesday,8,ADa - Eng,43,1,2.33%,AED,1.42,1.42,0.00%,0.00,0.00
Tuesday,5,ADa - Eng,17,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
