Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Female,ADa - Competitors,Raintree Systems,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Veradigm,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Services,Hospital Software,Eligible, --,153,13,8.50%,USD,2.22,28.81,0.00%,0.00,0.00
Enabled,Female,ADa - Services,Healthcare System,Eligible, --,347,22,6.34%,USD,2.52,55.48,4.55%,1.00,55.48
Enabled,Male,ADa - Services,Medical Software,Eligible, --,289,17,5.88%,USD,2.30,39.08,5.88%,1.00,39.08
Enabled,Unknown,ADa - Services,Medical Systems,Eligible, --,403,10,2.48%,USD,2.32,23.17,0.00%,0.00,0.00
Enabled,Unknown,ADa - Services,Health Records,Eligible, --,71,4,5.63%,USD,1.43,5.71,0.00%,0.00,0.00
Enabled,Female,ADa - Services,Physiotherapy Practice Software,Eligible, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Services,Dental Practice Software,Eligible, --,266,14,5.26%,USD,2.19,30.61,0.00%,0.00,0.00
Enabled,Female,ADa - Services,Health Records,Eligible, --,87,3,3.45%,USD,2.85,8.54,0.00%,0.00,0.00
Enabled,Female,ADa - Services,Patient Management Software,Eligible, --,33,1,3.03%,USD,3.00,3.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Services,Clinic Management System,Eligible, --,25,1,4.00%,USD,3.00,3.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Services,Clinic Management Software,Eligible, --,692,35,5.06%,USD,2.35,82.35,10.00%,3.50,23.53
Enabled,Unknown,ADa - Services,Healthcare System,Eligible, --,326,14,4.29%,USD,2.68,37.50,7.14%,1.00,37.50
Enabled,Unknown,ADa - Services,Psychiatry Clinic Software,Eligible, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
