Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Wednesday,7,ADa - Competitors,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,8,ADa - Competitors,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,0,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,19,ADa - Services,10,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,7,ADa - Services,17,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,23,ADa - Competitors,2,1,50.00%,USD,1.81,1.81,0.00%,0.00,0.00
Wednesday,23,ADa - Competitors,8,1,12.50%,USD,1.98,1.98,0.00%,0.00,0.00
Monday,20,ADa - Competitors,10,3,30.00%,USD,1.74,5.21,0.00%,0.00,0.00
Thursday,19,ADa - PMax,44,8,18.18%,USD,0.02,0.17,0.00%,0.00,0.00
Wednesday,19,ADa - PMax,42,4,9.52%,USD,0.22,0.86,0.00%,0.00,0.00
Monday,18,ADa - PMax,54,13,24.07%,USD,0.12,1.56,7.69%,1.00,1.56
Saturday,17,ADa - PMax,198,15,7.58%,USD,0.08,1.27,0.00%,0.00,0.00
Thursday,8,ADa - Services,62,3,4.84%,USD,2.46,7.39,0.00%,0.00,0.00
Thursday,15,ADa - Services,149,4,2.68%,USD,2.95,11.80,0.00%,0.00,0.00
Tuesday,12,ADa - Services,119,10,8.40%,USD,2.69,26.89,0.00%,0.00,0.00
Monday,16,ADa - Services,47,3,6.38%,USD,2.46,7.39,0.00%,0.00,0.00
Monday,18,ADa - Services,33,4,12.12%,USD,1.88,7.51,0.00%,0.00,0.00
Sunday,12,ADa - Services,115,5,4.35%,USD,2.64,13.20,0.00%,0.00,0.00
Thursday,15,ADa - Competitors,9,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,9,ADa - Competitors,24,3,12.50%,USD,1.93,5.78,0.00%,0.00,0.00
Tuesday,13,ADa - Competitors,21,7,33.33%,USD,1.62,11.34,14.29%,1.00,11.34
Monday,23,ADa - Competitors,12,1,8.33%,USD,1.56,1.56,0.00%,0.00,0.00
Wednesday,23,ADa - PMax,9,2,22.22%,USD,0.01,0.02,0.00%,0.00,0.00
Sunday,1,ADa - PMax,125,4,3.20%,USD,0.03,0.10,0.00%,0.00,0.00
Sunday,2,ADa - PMax,39,3,7.69%,USD,0.02,0.07,0.00%,0.00,0.00
Sunday,21,ADa - PMax,133,12,9.02%,USD,0.14,1.66,0.00%,0.00,0.00
Friday,8,ADa - Services,47,1,2.13%,USD,1.53,1.53,100.00%,1.00,1.53
Friday,9,ADa - Services,54,4,7.41%,USD,1.88,7.50,0.00%,0.00,0.00
Tuesday,17,ADa - Services,45,2,4.44%,USD,2.61,5.22,0.00%,0.00,0.00
Monday,17,ADa - Competitors,9,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,1,ADa - Competitors,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,21,ADa - Services,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
,,Total: Campaigns,"39,307","2,533",6.44%,USD,0.66,1671.72,1.42%,36.00,46.44
,,Total: Account,"39,307","2,533",6.44%,USD,0.66,1671.72,1.42%,36.00,46.44
,,Total: Performance Max,"29,104","1,903",6.54%,USD,0.13,250.62,1.05%,20.00,12.53
,,Total: Search,"10,203",630,6.17%,USD,2.26,1421.10,2.54%,16.00,88.82
