Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,14,ADa_Panty_NL,EUR,0.00,16,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,20,PMax | Rem | CA | EN,EUR,1.17,17,0,0.00%,0,0.02,0.00%,0.00,0.00
Thursday,14,PMax | Rem | CA | EN,EUR,0.33,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,3,S | General | NL,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,12,PMax | Rem | AU-NZ | EN,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,2,PMax | Rem | AU-NZ | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,22,ADa_Brand_NL,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,15,PMax | Rem | DE,EUR,21.47,299,15,5.02%,0.43,6.42,0.00%,0.00,0.00
Monday,14,PMax | Rem | DE,EUR,19.95,350,18,5.14%,0.39,6.98,0.00%,0.00,0.00
Sunday,15,PMax | Rem | DE,EUR,13.12,"1,042",29,2.78%,0.47,13.67,0.00%,0.00,0.00
Saturday,18,PMax | Rem | UK,EUR,37.14,105,6,5.71%,0.65,3.90,0.00%,0.00,0.00
Thursday,19,PMax | Rem | UK,EUR,18.09,102,7,6.86%,0.26,1.84,0.00%,0.00,0.00
Wednesday,14,PMax | Rem | UK,EUR,22.73,124,14,11.29%,0.20,2.82,0.00%,0.00,0.00
Sunday,15,PMax | Rem | UK,EUR,32.80,125,8,6.40%,0.51,4.10,0.00%,0.00,0.00
Friday,0,PMAX | shopping | EU | EN,EUR,7.92,85,2,2.35%,0.34,0.67,0.00%,0.00,0.00
Tuesday,9,PMAX | shopping | EU | EN,EUR,1.83,53,1,1.89%,0.10,0.10,0.00%,0.00,0.00
Tuesday,19,PMAX | shopping | EU | EN,EUR,12.14,246,5,2.03%,0.60,2.99,0.00%,0.00,0.00
Thursday,2,DGen | EN,EUR,2.40,148,1,0.68%,0.36,0.36,0.00%,0.00,0.00
Thursday,17,DGen | EN,EUR,0.35,"4,547",8,0.18%,0.20,1.61,0.00%,0.00,0.00
Monday,6,DGen | EN,EUR,1.08,837,5,0.60%,0.18,0.90,0.00%,0.00,0.00
Sunday,9,DGen | EN,EUR,0.56,"2,280",10,0.44%,0.13,1.27,0.00%,0.00,0.00
Sunday,22,DGen | EN,EUR,0.37,"3,652",16,0.44%,0.09,1.37,0.00%,0.00,0.00
Wednesday,6,PMax | Rem | US | EN,EUR,19.12,34,1,2.94%,0.65,0.65,0.00%,0.00,0.00
Friday,17,ADa_Panty_NL,EUR,5.73,345,24,6.96%,0.08,1.98,0.00%,0.00,0.00
Wednesday,17,ADa_Panty_NL,EUR,16.81,592,43,7.26%,0.23,9.95,0.00%,0.00,0.00
Tuesday,11,ADa_Panty_NL,EUR,1.22,105,2,1.90%,0.06,0.13,0.00%,0.00,0.00
Sunday,22,ADa_Panty_NL,EUR,53.78,110,4,3.64%,1.48,5.92,0.00%,0.00,0.00
Saturday,2,PMax | Rem | NL | New,EUR,14.35,163,9,5.52%,0.26,2.34,0.00%,0.00,0.00
Tuesday,6,PMax | Rem | NL | New,EUR,13.80,178,12,6.74%,0.20,2.46,0.00%,0.00,0.00
Tuesday,7,PMax | Rem | NL | New,EUR,8.54,407,23,5.65%,0.15,3.48,0.00%,0.00,0.00
Saturday,0,S | General | EU | EN,EUR,115.08,87,8,9.20%,1.25,10.01,0.00%,0.00,0.00
Wednesday,17,S | General | EU | EN,EUR,11.33,75,2,2.67%,0.43,0.85,0.00%,0.00,0.00
Wednesday,21,S | General | EU | EN,EUR,55.18,83,9,10.84%,0.51,4.58,0.00%,0.00,0.00
Tuesday,9,S | General | EU | EN,EUR,34.05,124,8,6.45%,0.53,4.22,0.00%,0.00,0.00
Saturday,0,ADa_Pants_NL,EUR,11.65,104,8,7.69%,0.15,1.21,0.00%,0.00,0.00
Thursday,9,ADa_Pants_NL,EUR,10.81,225,8,3.56%,0.30,2.43,0.00%,0.00,0.00
Wednesday,12,ADa_Pants_NL,EUR,5.42,184,3,1.63%,0.33,1.00,0.00%,0.00,0.00
Tuesday,7,ADa_Pants_NL,EUR,4.34,34,2,5.88%,0.07,0.15,0.00%,0.00,0.00
Tuesday,18,ADa_Pants_NL,EUR,13.09,306,15,4.90%,0.27,4.01,0.00%,0.00,0.00
Saturday,13,S | General | NL,EUR,114.13,214,9,4.21%,2.71,24.42,0.00%,0.00,0.00
Friday,21,S | General | NL,EUR,83.42,95,5,5.26%,1.59,7.93,0.00%,0.00,0.00
Wednesday,4,S | General | NL,EUR,150.00,9,1,11.11%,1.35,1.35,0.00%,0.00,0.00
Wednesday,17,S | General | NL,EUR,17.35,49,1,2.04%,0.85,0.85,0.00%,0.00,0.00
